,Customer.Lifetime.Value,Coverage,Education,EmploymentStatus,Gender,Income,Location.Code,Marital.Status,Monthly.Premium.Auto,Months.Since.Last.Claim,Months.Since.Policy.Inception,Number.of.Open.Complaints,Number.of.Policies,Policy.Type,Policy,Renew.Offer.Type,Sales.Channel,Total.Claim.Amount,Vehicle.Class,Vehicle.Size
856,4895.811925,Basic,College,Employed,F,54495,Urban,Married,0,7,3,0,8,Personal Auto,Personal L3,Offer1,Branch,182.350945,Four-Door Car,2
857,8737.837514,Basic,Bachelor,Employed,M,61281,Rural,Married,110,7,16,0,7,Personal Auto,Personal L3,Offer1,Agent,79.865605,SUV,2
858,4479.59882,Basic,Bachelor,Unemployed,M,0,Suburban,Single,0,13,87,0,4,Personal Auto,Personal L1,Offer1,Branch,618.355883,Two-Door Car,3
859,2619.172388,Basic,Bachelor,Disabled,M,15587,Rural,Married,71,11,48,0,1,Special Auto,Special L1,Offer2,Agent,136.033828,Two-Door Car,2
861,5380.898636,Extended,Bachelor,Employed,M,66429,Rural,Single,0,33,66,0,1,Personal Auto,Personal L3,Offer4,Agent,117.672722,SUV,3
862,5137.349322,Basic,High School or Below,Medical Leave,M,21827,Suburban,Married,66,1,76,0,3,Personal Auto,Personal L3,Offer1,Branch,312,Four-Door Car,3
864,25807.063,Extended,College,Employed,F,71210,Suburban,Married,214,8,89,0,2,Personal Auto,Personal L1,Offer1,Branch,1027.2,Luxury Car,3
867,5614.587986,Basic,Bachelor,Employed,F,63621,Suburban,Married,73,4,55,0,8,Corporate Auto,Corporate L1,Offer2,Call Center,364.8,Four-Door Car,3
868,7842.865664,Extended,College,Employed,M,94263,Rural,Married,98,33,78,0,3,Personal Auto,Personal L1,Offer2,Branch,112.420211,Four-Door Car,2
869,4834.397455,Basic,Bachelor,Disabled,M,11698,Suburban,Married,65,4,38,0,3,Personal Auto,Personal L2,Offer2,Branch,468,Four-Door Car,1
870,2535.321683,Basic,High School or Below,Employed,M,30027,Suburban,Married,0,3,56,0,1,Corporate Auto,Personal L2,Offer2,Call Center,321.6,Four-Door Car,2
871,5757.442258,Basic,Master,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,3
873,4770.984146,Basic,Master,Employed,F,76194,Urban,Single,119,5,85,0,1,Personal Auto,Personal L2,Offer1,Agent,388.313599,SUV,1
874,5480.070226,Basic,Doctor,Employed,M,59311,Rural,Divorced,69,8,38,0,9,Corporate Auto,Corporate L3,Offer1,Web,14.812808,Four-Door Car,2
875,8382.630118,Basic,High School or Below,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L1,Offer1,Web,561.6,Sports Car,2
876,6242.595729,Extended,College,Employed,F,75680,Rural,Married,78,27,6,0,6,Personal Auto,Personal L3,Offer2,Agent,136.787725,Four-Door Car,2
877,8257.666512,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424.330166,Four-Door Car,2
878,9816.528302,Basic,College,Employed,M,37256,Rural,Married,62,15,7,0,2,Personal Auto,Personal L3,Offer1,Branch,128.969729,Four-Door Car,2
880,7019.177186,Basic,College,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,2
881,5603.73932,Basic,High School or Below,Employed,F,95284,Urban,Married,69,6,35,0,4,Personal Auto,Personal L3,Offer2,Call Center,327.647322,Four-Door Car,2
883,2128.621329,Basic,Bachelor,Unemployed,F,0,Suburban,Single,65,19,54,2,1,Personal Auto,Personal L1,Offer1,Agent,312,Four-Door Car,2
885,9031.214859,Extended,Master,Unemployed,F,0,Suburban,Single,122,15,47,0,9,Corporate Auto,Corporate L2,Offer1,Branch,650.52179,Sports Car,2
886,8730.421977,Basic,High School or Below,Employed,M,43259,Suburban,Married,73,12,18,0,2,Personal Auto,Personal L2,Offer1,Branch,350.4,Four-Door Car,2
888,3173.032243,Premium,College,Unemployed,M,0,Suburban,Married,101,34,52,4,1,Personal Auto,Personal L3,Offer1,Call Center,484.8,Four-Door Car,3
889,7048.384055,Basic,College,Medical Leave,M,24030,Suburban,Single,194,14,0,0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,2
890,32467.66151,Premium,Doctor,Employed,M,37675,Suburban,Single,104,23,18,0,2,Corporate Auto,Corporate L3,Offer3,Agent,731.970027,Four-Door Car,2
891,6991.248087,Basic,Bachelor,Medical Leave,F,19019,Suburban,Married,186,7,46,0,1,Personal Auto,Personal L3,Offer4,Branch,1003.050834,Luxury SUV,2
892,2398.354197,Basic,College,Retired,F,27501,Suburban,Married,0,1,67,0,1,Personal Auto,Personal L3,Offer1,Agent,312,Four-Door Car,2
893,4282.947971,Basic,College,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Personal L3,Offer1,Agent,166.937747,SUV,2
895,11211.59027,Extended,College,Employed,F,41121,Suburban,Divorced,94,20,56,0,2,Personal Auto,Personal L2,Offer1,Call Center,451.2,Four-Door Car,2
897,6521.368813,Extended,College,Employed,F,72608,Suburban,Married,82,26,19,3,8,Personal Auto,Personal L1,Offer2,Agent,393.6,Four-Door Car,2
898,2274.647023,Basic,College,Unemployed,M,0,Suburban,Single,68,10,16,0,1,Personal Auto,Personal L3,Offer1,Call Center,316.8,Four-Door Car,2
900,2530.705137,Basic,Bachelor,Employed,F,89451,Rural,Single,63,11,2,0,1,Special Auto,Special L2,Offer2,Web,61.769564,Four-Door Car,2
901,5252.511788,Basic,High School or Below,Unemployed,M,0,Suburban,Single,74,32,62,0,3,Corporate Auto,Corporate L3,Offer1,Agent,532.8,Four-Door Car,2
903,5471.83429,Basic,College,Employed,F,53526,Urban,Married,68,27,69,0,4,Personal Auto,Personal L3,Offer1,Agent,278.902846,Four-Door Car,2
904,10876.4794,Extended,Doctor,Employed,M,71255,Rural,Single,138,28,16,0,4,Personal Auto,Personal L1,Offer1,Agent,138.633681,Sports Car,2
905,2796.802191,Basic,Bachelor,Employed,M,77362,Suburban,Married,70,14,25,0,1,Personal Auto,Personal L3,Offer2,Agent,386.599797,Two-Door Car,2
906,6862.508337,Extended,High School or Below,Employed,F,54780,Rural,Married,0,22,72,3,5,Personal Auto,Personal L3,Offer1,Agent,135.26125,Four-Door Car,1
907,7218.085486,Basic,Bachelor,Employed,M,79494,Suburban,Married,89,33,25,0,3,Personal Auto,Personal L1,Offer1,Web,422.4,Four-Door Car,2
908,6756.062791,Extended,Bachelor,Employed,F,46879,Urban,Married,86,3,62,2,3,Personal Auto,Personal L3,Offer1,Agent,324.944098,Four-Door Car,2
909,5354.612433,Basic,Bachelor,Employed,M,29445,Suburban,Married,68,0,31,0,9,Personal Auto,Personal L3,Offer3,Call Center,334.015169,Four-Door Car,2
910,5765.502751,Basic,High School or Below,Employed,M,51066,Suburban,Single,0,9,48,0,5,Personal Auto,Personal L3,Offer3,Web,472.500375,Two-Door Car,3
911,3360.269641,Extended,High School or Below,Employed,M,75216,Rural,Married,84,23,39,1,1,Corporate Auto,Corporate L3,Offer4,Agent,65.803328,Four-Door Car,2
913,5394.913017,Basic,Bachelor,Employed,F,29853,Rural,Single,69,8,36,0,6,Personal Auto,Personal L2,Offer1,Agent,76.586018,Four-Door Car,2
914,2867.312197,Basic,Bachelor,Retired,F,23376,Suburban,Divorced,78,19,18,0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,2
916,2717.781848,Basic,Bachelor,Employed,F,43278,Urban,Single,0,31,96,0,1,Corporate Auto,Personal L3,Offer4,Agent,183.207703,Two-Door Car,2
917,2229.361773,Basic,High School or Below,Unemployed,M,0,Suburban,Married,61,27,57,0,1,Personal Auto,Personal L3,Offer2,Call Center,292.8,Four-Door Car,2
918,31161.74523,Basic,College,Employed,F,30916,Rural,Married,112,7,65,0,2,Personal Auto,Personal L1,Offer1,Agent,200.11606,SUV,3
920,5755.18214,Basic,High School or Below,Employed,F,97657,Rural,Married,71,2,19,0,8,Personal Auto,Personal L2,Offer2,Branch,107.325235,Two-Door Car,2
922,4270.034394,Extended,College,Unemployed,M,0,Suburban,Married,122,27,2,0,1,Corporate Auto,Corporate L3,Offer2,Agent,725.870693,SUV,2
923,5395.346288,Basic,Bachelor,Employed,F,26893,Urban,Married,68,22,60,0,9,Personal Auto,Personal L3,Offer1,Agent,268.676912,Four-Door Car,2
928,4328.864771,Basic,College,Retired,M,24711,Suburban,Divorced,62,15,11,0,6,Personal Auto,Personal L3,Offer1,Call Center,362.989533,Two-Door Car,3
929,2451.752695,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,0,1,Personal Auto,Personal L1,Offer1,Agent,307.2,Four-Door Car,2
931,8482.456771,Premium,High School or Below,Employed,F,29628,Suburban,Married,106,29,45,0,9,Corporate Auto,Corporate L2,Offer1,Agent,763.2,Two-Door Car,2
934,6383.482152,Extended,College,Employed,F,67881,Suburban,Married,79,6,70,0,4,Personal Auto,Personal L2,Offer3,Branch,391.039166,Two-Door Car,2
938,7080.131872,Extended,Bachelor,Disabled,F,28139,Suburban,Married,97,31,65,2,3,Personal Auto,Personal L3,Offer1,Branch,465.6,Four-Door Car,2
939,10025.91827,Extended,College,Disabled,M,16266,Suburban,Married,96,30,82,0,2,Personal Auto,Personal L2,Offer3,Web,451.2,Four-Door Car,1
941,8012.365866,Basic,Bachelor,Employed,M,58058,Suburban,Married,67,28,49,0,2,Personal Auto,Personal L1,Offer2,Call Center,355.198918,Four-Door Car,2
943,4731.366975,Basic,High School or Below,Employed,M,30686,Rural,Single,61,22,45,0,3,Corporate Auto,Corporate L3,Offer2,Web,19.938981,Four-Door Car,2
945,5845.426201,Basic,Bachelor,Employed,F,43145,Suburban,Married,73,1,0,0,6,Corporate Auto,Corporate L3,Offer3,Web,516.421124,Two-Door Car,2
946,2650.622781,Basic,College,Employed,F,39035,Urban,Divorced,68,15,65,0,1,Personal Auto,Personal L2,Offer2,Agent,244.564334,Four-Door Car,2
949,15063.50118,Basic,College,Employed,M,83283,Rural,Single,189,15,43,1,3,Personal Auto,Personal L1,Offer1,Agent,50.454459,Luxury SUV,2
950,8256.2978,Basic,High School or Below,Employed,F,49009,Rural,Married,103,8,75,0,9,Special Auto,Special L2,Offer3,Web,49.797016,SUV,2
951,14866.45116,Basic,High School or Below,Employed,F,27514,Suburban,Married,0,16,62,0,2,Special Auto,Special L2,Offer1,Agent,508.8,SUV,2
955,5363.405969,Basic,Bachelor,Employed,M,50405,Urban,Single,0,0,92,2,9,Corporate Auto,Personal L1,Offer1,Call Center,185.530076,Four-Door Car,2
956,7757.924239,Basic,Bachelor,Employed,M,49682,Rural,Single,101,30,49,0,3,Personal Auto,Personal L2,Offer1,Web,198.84453,SUV,2
958,5170.811494,Basic,College,Unemployed,F,0,Suburban,Married,69,4,45,0,3,Personal Auto,Personal L3,Offer4,Web,340.8,Two-Door Car,3
959,8221.870429,Premium,Master,Medical Leave,F,13376,Suburban,Single,108,13,75,0,4,Personal Auto,Personal L3,Offer1,Agent,774.714929,Four-Door Car,3
960,10484.91535,Extended,College,Employed,F,61108,Rural,Divorced,89,22,93,0,2,Personal Auto,Personal L3,Offer2,Agent,49.451117,Four-Door Car,2
962,8257.666512,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,2
963,4063.331688,Premium,College,Employed,M,34911,Rural,Married,110,6,31,0,1,Corporate Auto,Corporate L3,Offer4,Agent,264.642948,Two-Door Car,2
964,14741.76092,Basic,Bachelor,Unemployed,F,0,Suburban,Married,139,2,33,1,2,Personal Auto,Personal L3,Offer3,Call Center,667.2,SUV,2
965,2722.210707,Basic,College,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Special Auto,Special L2,Offer2,Call Center,398.502948,Four-Door Car,2
967,2496.167004,Basic,Bachelor,Employed,M,49136,Suburban,Divorced,64,7,95,0,1,Personal Auto,Personal L1,Offer4,Web,307.2,Four-Door Car,2
968,5838.89915,Basic,High School or Below,Employed,M,81082,Urban,Married,73,5,85,0,4,Corporate Auto,Corporate L3,Offer2,Agent,281.295903,Four-Door Car,1
969,6134.38779,Extended,High School or Below,Employed,M,43875,Urban,Divorced,78,18,33,0,5,Corporate Auto,Corporate L3,Offer3,Agent,289.468771,Four-Door Car,2
970,9095.744565,Extended,High School or Below,Unemployed,F,0,Suburban,Single,0,23,41,0,1,Personal Auto,Personal L1,Offer2,Agent,1621.560425,Luxury Car,1
972,2052.948967,Basic,College,Unemployed,M,0,Suburban,Single,67,33,21,2,1,Personal Auto,Personal L3,Offer3,Agent,806.180375,Four-Door Car,1
975,10153.88899,Extended,College,Unemployed,M,0,Suburban,Married,90,33,75,0,2,Corporate Auto,Corporate L1,Offer1,Call Center,432,Four-Door Car,1
976,3059.056323,Extended,Bachelor,Unemployed,F,0,Rural,Married,83,29,52,0,1,Personal Auto,Personal L2,Offer3,Agent,197.498882,Two-Door Car,2
977,14635.45158,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal Auto,Personal L1,Offer1,Call Center,667.2,SUV,2
978,10103.65572,Extended,High School or Below,Retired,F,11721,Suburban,Divorced,90,29,99,0,2,Personal Auto,Personal L1,Offer1,Agent,571.479602,Four-Door Car,1
979,2955.495724,Basic,Doctor,Employed,F,56502,Suburban,Single,74,15,78,0,1,Personal Auto,Personal L1,Offer3,Branch,355.2,Four-Door Car,2
980,8383.677045,Basic,High School or Below,Retired,M,19683,Suburban,Married,118,27,66,1,8,Personal Auto,Personal L2,Offer2,Agent,571.2,SUV,2
983,2698.355517,Basic,High School or Below,Employed,M,88867,Suburban,Single,69,6,2,0,1,Personal Auto,Personal L1,Offer3,Web,331.2,Four-Door Car,2
984,4886.544296,Basic,High School or Below,Employed,F,76374,Suburban,Divorced,61,21,28,0,7,Personal Auto,Personal L3,Offer2,Call Center,292.8,Four-Door Car,3
985,3417.204953,Extended,Master,Employed,F,42526,Urban,Divorced,86,12,71,0,1,Personal Auto,Personal L3,Offer2,Agent,287.5426,Two-Door Car,2
986,2668.731444,Basic,High School or Below,Unemployed,F,0,Suburban,Single,78,23,23,1,1,Personal Auto,Personal L3,Offer1,Agent,374.4,Four-Door Car,3
988,5687.897911,Basic,Bachelor,Employed,M,99747,Rural,Single,72,28,87,0,5,Corporate Auto,Corporate L2,Offer1,Call Center,61.536107,Two-Door Car,2
989,2582.408525,Basic,Bachelor,Employed,F,76731,Urban,Married,64,2,68,0,1,Special Auto,Special L3,Offer2,Agent,201.455005,Four-Door Car,2
990,8652.652451,Premium,Bachelor,Employed,M,65605,Urban,Married,111,2,72,2,7,Corporate Auto,Corporate L2,Offer3,Branch,377.781658,Two-Door Car,2
991,5424.256733,Basic,Bachelor,Employed,F,67414,Rural,Married,68,7,37,0,8,Personal Auto,Personal L1,Offer2,Branch,148.778455,Four-Door Car,2
992,20531.64534,Extended,High School or Below,Disabled,F,12503,Rural,Single,92,4,31,0,2,Personal Auto,Personal L3,Offer1,Branch,120.69808,Four-Door Car,2
993,4484.254754,Basic,High School or Below,Unemployed,F,0,Suburban,Single,65,22,44,0,8,Personal Auto,Personal L2,Offer4,Agent,463.382118,Four-Door Car,2
994,7955.774758,Basic,High School or Below,Unemployed,M,0,Suburban,Married,74,17,27,0,2,Personal Auto,Personal L3,Offer2,Web,355.2,Four-Door Car,2
995,12379.56803,Basic,Bachelor,Employed,M,39886,Urban,Married,64,34,59,1,2,Personal Auto,Personal L3,Offer3,Web,290.359207,Two-Door Car,2
997,2794.907476,Basic,Bachelor,Employed,M,98859,Urban,Single,0,30,62,0,1,Personal Auto,Personal L2,Offer2,Web,222.478994,Two-Door Car,2
998,3649.658983,Extended,High School or Below,Employed,M,32314,Urban,Married,92,32,86,0,1,Personal Auto,Personal L3,Offer1,Branch,354.455466,Two-Door Car,2
999,3861.486269,Basic,College,Employed,F,93272,Urban,Married,95,3,54,0,1,Personal Auto,Personal L3,Offer2,Branch,281.110788,Four-Door Car,2
1000,9320.090224,Extended,College,Employed,M,40269,Urban,Married,81,0,71,2,2,Personal Auto,Personal L2,Offer2,Agent,329.980754,Four-Door Car,2
1001,9227.945752,Extended,High School or Below,Unemployed,F,0,Urban,Married,82,22,62,0,2,Personal Auto,Personal L3,Offer1,Call Center,296.637382,Two-Door Car,2
1002,2759.978287,Basic,Bachelor,Employed,M,92296,Suburban,Married,69,4,65,0,1,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,2
1003,2598.061204,Basic,Bachelor,Employed,F,62566,Rural,Married,65,4,3,1,1,Corporate Auto,Corporate L1,Offer3,Branch,48.344273,Four-Door Car,2
1004,9424.256842,Basic,High School or Below,Employed,M,35230,Suburban,Married,0,15,52,0,3,Personal Auto,Personal L2,Offer1,Branch,571.2,SUV,2
1005,2728.03759,Basic,High School or Below,Employed,M,44025,Suburban,Single,69,0,75,0,1,Personal Auto,Personal L3,Offer1,Branch,331.2,Two-Door Car,2
1006,10479.89966,Extended,Bachelor,Employed,F,78435,Urban,Divorced,130,11,19,0,4,Personal Auto,Personal L3,Offer1,Call Center,553.61131,SUV,2
1008,17738.2012,Basic,High School or Below,Unemployed,F,0,Suburban,Single,63,3,74,0,2,Corporate Auto,Personal L3,Offer1,Agent,772.83851,Two-Door Car,2
1010,9927.049694,Extended,College,Medical Leave,M,19592,Suburban,Divorced,92,31,63,0,2,Personal Auto,Personal L2,Offer4,Web,441.6,Four-Door Car,2
1011,4551.060479,Basic,High School or Below,Unemployed,M,0,Suburban,Single,62,25,98,0,3,Personal Auto,Personal L1,Offer1,Call Center,446.4,Two-Door Car,2
1012,18399.82784,Basic,College,Unemployed,F,0,Suburban,Single,73,33,8,0,2,Personal Auto,Personal L1,Offer2,Call Center,525.6,Four-Door Car,3
1013,67907.2705,Premium,Bachelor,Employed,M,78310,Rural,Married,192,34,18,1,2,Personal Auto,Personal L1,Offer1,Agent,151.711475,Sports Car,2
1015,3645.464325,Extended,College,Medical Leave,F,19121,Suburban,Married,95,1,18,0,1,Personal Auto,Personal L2,Offer2,Agent,915.188647,Four-Door Car,3
1016,2700.985899,Basic,High School or Below,Employed,M,79292,Rural,Married,67,18,58,0,1,Corporate Auto,Corporate L2,Offer2,Branch,55.394702,Four-Door Car,2
1017,4428.625763,Basic,Bachelor,Medical Leave,M,18263,Suburban,Married,117,1,18,0,1,Personal Auto,Personal L2,Offer1,Branch,758.333096,SUV,2
1018,6066.115969,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,380.036697,Two-Door Car,3
1019,4794.116328,Basic,College,Employed,F,77846,Rural,Divorced,61,15,0,0,4,Personal Auto,Personal L3,Offer2,Call Center,22.569825,Two-Door Car,3
1020,7434.675149,Extended,Master,Employed,M,28377,Suburban,Married,0,26,99,0,3,Personal Auto,Personal L1,Offer2,Call Center,451.2,Four-Door Car,2
1021,16979.79757,Basic,Bachelor,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,525.6,Two-Door Car,3
1022,10845.74473,Extended,Bachelor,Employed,F,39135,Urban,Single,90,22,65,1,2,Personal Auto,Corporate L3,Offer1,Branch,392.604371,Four-Door Car,2
1023,6333.030812,Extended,Master,Employed,M,71737,Urban,Divorced,79,7,79,0,4,Personal Auto,Personal L2,Offer3,Agent,338.79562,Two-Door Car,2
1026,14024.35839,Premium,High School or Below,Employed,F,81872,Rural,Married,115,10,55,0,2,Corporate Auto,Corporate L2,Offer2,Web,256.43803,Four-Door Car,2
1027,2570.433324,Basic,Bachelor,Employed,F,44940,Urban,Single,65,1,67,0,1,Corporate Auto,Corporate L3,Offer1,Agent,284.492531,Four-Door Car,2
1028,2429.280527,Basic,High School or Below,Medical Leave,F,26736,Suburban,Married,63,6,64,0,1,Corporate Auto,Personal L1,Offer1,Agent,367.92773,Four-Door Car,2
1030,5459.216794,Extended,Bachelor,Unemployed,F,0,Urban,Married,78,27,88,0,4,Special Auto,Special L3,Offer2,Agent,289.468771,Four-Door Car,2
1032,15950.01951,Extended,College,Unemployed,F,0,Rural,Married,87,10,55,1,2,Personal Auto,Personal L2,Offer2,Web,46.041452,Two-Door Car,2
1035,14040.96476,Basic,Bachelor,Employed,F,90844,Urban,Divorced,119,18,66,0,2,Corporate Auto,Corporate L1,Offer3,Agent,485.183645,Four-Door Car,2
1037,5142.389806,Extended,Bachelor,Employed,F,35666,Rural,Divorced,131,12,76,0,1,Personal Auto,Personal L2,Offer2,Call Center,312.110029,SUV,3
1040,4605.87485,Basic,College,Employed,M,47481,Suburban,Married,116,20,39,0,1,Personal Auto,Personal L3,Offer4,Call Center,556.8,SUV,2
1041,7522.900704,Basic,High School or Below,Employed,M,55916,Suburban,Married,63,23,41,0,2,Personal Auto,Personal L2,Offer4,Agent,302.4,Four-Door Car,2
1042,6104.849081,Extended,High School or Below,Employed,M,62455,Suburban,Single,0,32,81,1,3,Special Auto,Special L2,Offer3,Agent,345.6,Four-Door Car,1
1043,6686.128629,Extended,Bachelor,Employed,F,24432,Urban,Married,84,9,77,1,6,Personal Auto,Personal L1,Offer2,Web,237.57033,Four-Door Car,2
1044,15122.99194,Basic,Bachelor,Unemployed,F,0,Suburban,Single,72,35,86,0,2,Personal Auto,Personal L3,Offer2,Agent,518.4,Two-Door Car,2
1045,4984.618655,Basic,Bachelor,Employed,M,86305,Rural,Married,62,1,99,0,5,Corporate Auto,Corporate L3,Offer2,Call Center,80.73124,Four-Door Car,2
1046,4122.964632,Basic,High School or Below,Medical Leave,F,24732,Rural,Married,107,18,44,0,1,Corporate Auto,Corporate L3,Offer3,Branch,72.771554,Sports Car,2
1048,10747.03094,Extended,College,Employed,M,66446,Urban,Divorced,136,8,77,0,3,Corporate Auto,Corporate L1,Offer2,Branch,639.464548,SUV,1
1049,8649.175023,Basic,College,Employed,F,43383,Suburban,Married,109,7,60,0,8,Personal Auto,Personal L1,Offer3,Branch,757.593913,SUV,2
1051,14376.55039,Premium,College,Employed,M,70341,Rural,Married,179,11,43,0,3,Personal Auto,Personal L3,Offer4,Branch,253.511935,SUV,2
1052,3982.266087,Basic,Bachelor,Disabled,M,17272,Suburban,Married,101,8,48,0,1,Corporate Auto,Personal L1,Offer1,Branch,535.080276,SUV,1
1056,5161.789881,Basic,College,Unemployed,M,0,Suburban,Married,70,6,24,0,6,Personal Auto,Personal L3,Offer1,Web,469.491537,Four-Door Car,2
1057,15814.74557,Premium,College,Unemployed,M,0,Suburban,Single,0,7,50,0,2,Personal Auto,Personal L2,Offer2,Web,1055.43784,SUV,2
1058,4004.5513,Extended,Bachelor,Unemployed,F,0,Suburban,Married,119,28,57,0,1,Personal Auto,Corporate L3,Offer4,Branch,580.8,SUV,2
1059,18042.47942,Extended,Master,Employed,M,35704,Rural,Married,225,21,35,0,8,Personal Auto,Personal L3,Offer1,Branch,358.281562,Luxury Car,2
1062,10515.96779,Extended,High School or Below,Employed,M,21499,Suburban,Married,135,34,28,1,3,Corporate Auto,Corporate L3,Offer2,Branch,648,SUV,2
1063,4916.577034,Basic,Bachelor,Employed,F,21907,Rural,Married,62,6,47,0,3,Personal Auto,Personal L3,Offer2,Agent,2.96438,Four-Door Car,2
1064,24186.24342,Basic,Doctor,Disabled,M,14710,Suburban,Single,112,25,86,0,2,Personal Auto,Personal L2,Offer3,Agent,537.6,Sports Car,2
1066,32654.8383,Premium,Bachelor,Unemployed,M,0,Suburban,Single,153,7,75,0,2,Personal Auto,Personal L3,Offer3,Branch,1101.6,SUV,2
1067,4139.533158,Basic,Doctor,Employed,F,45281,Rural,Married,104,13,84,1,1,Personal Auto,Personal L2,Offer1,Branch,65.03063,Sports Car,2
1068,11044.42715,Basic,College,Employed,F,41121,Rural,Married,0,7,59,0,5,Personal Auto,Personal L2,Offer1,Branch,289.77269,SUV,2
1069,5708.024308,Basic,High School or Below,Employed,F,70279,Urban,Single,71,17,25,0,7,Special Auto,Special L3,Offer4,Call Center,331.231484,Four-Door Car,2
1071,2595.747991,Basic,High School or Below,Unemployed,F,0,Suburban,Married,69,12,27,0,1,Personal Auto,Personal L3,Offer2,Branch,336,Four-Door Car,2
1073,4904.894731,Extended,Bachelor,Retired,M,12902,Suburban,Married,128,23,45,3,1,Corporate Auto,Personal L2,Offer1,Agent,839.348464,SUV,2
1074,2860.747385,Basic,Doctor,Employed,M,27907,Suburban,Divorced,74,3,38,1,1,Personal Auto,Personal L2,Offer3,Call Center,406.439436,Four-Door Car,2
1077,2452.738575,Basic,Bachelor,Employed,F,52785,Rural,Married,61,2,90,0,1,Corporate Auto,Corporate L1,Offer2,Agent,45.721456,Two-Door Car,2
1078,8491.858636,Basic,Master,Employed,M,27781,Suburban,Married,71,33,7,0,2,Corporate Auto,Corporate L2,Offer3,Agent,340.8,Four-Door Car,2
1079,15363.84716,Premium,Doctor,Disabled,F,15897,Urban,Divorced,101,30,99,0,2,Personal Auto,Personal L3,Offer2,Agent,303.148399,Four-Door Car,2
1084,2612.528734,Basic,College,Employed,M,37073,Suburban,Married,66,16,35,0,1,Personal Auto,Personal L3,Offer2,Branch,316.8,Four-Door Car,2
1085,9378.900706,Basic,Bachelor,Employed,M,51425,Urban,Married,119,32,66,0,3,Personal Auto,Personal L3,Offer1,Agent,560.154132,Four-Door Car,1
1088,4397.781207,Basic,College,Employed,M,91653,Urban,Divorced,111,10,25,0,1,Corporate Auto,Corporate L3,Offer2,Agent,343.98412,SUV,2
1089,8356.181097,Basic,College,Unemployed,F,0,Suburban,Single,117,20,20,0,3,Personal Auto,Personal L1,Offer1,Agent,566.4,Sports Car,2
1090,4633.550875,Basic,Bachelor,Employed,F,29105,Rural,Married,117,28,31,0,1,Personal Auto,Personal L3,Offer2,Branch,272.612048,Sports Car,2
1091,2727.082424,Basic,High School or Below,Employed,F,29286,Suburban,Married,0,15,33,0,1,Personal Auto,Personal L1,Offer3,Agent,352.894843,Four-Door Car,2
1092,10064.60828,Extended,High School or Below,Employed,F,20440,Suburban,Married,128,11,54,2,9,Corporate Auto,Corporate L3,Offer3,Branch,614.4,Sports Car,2
1094,19160.98994,Extended,Master,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Personal L3,Offer2,Agent,1294.700423,Luxury SUV,2
1095,35984.10457,Extended,High School or Below,Unemployed,F,0,Suburban,Single,129,2,69,0,2,Corporate Auto,Corporate L2,Offer1,Agent,1267.549091,Sports Car,2
1096,9581.281433,Premium,College,Employed,F,75606,Suburban,Married,119,6,97,0,7,Personal Auto,Personal L3,Offer1,Web,571.2,Four-Door Car,2
1097,2215.912948,Basic,Bachelor,Unemployed,M,0,Suburban,Married,0,16,1,3,1,Corporate Auto,Personal L3,Offer1,Branch,302.4,Two-Door Car,3
1099,2337.356699,Basic,Bachelor,Unemployed,M,0,Suburban,Single,65,31,52,0,1,Corporate Auto,Corporate L3,Offer2,Agent,468,Four-Door Car,3
1100,15806.53397,Extended,Master,Employed,F,58516,Suburban,Married,98,14,75,0,2,Corporate Auto,Corporate L2,Offer4,Branch,470.4,Two-Door Car,1
1101,3317.904817,Extended,High School or Below,Employed,F,63297,Suburban,Married,84,26,43,0,1,Personal Auto,Personal L3,Offer3,Web,441.6,Four-Door Car,1
1102,10592.58753,Extended,College,Employed,M,59590,Urban,Divorced,136,15,67,0,5,Personal Auto,Personal L1,Offer1,Branch,460.266881,SUV,3
1103,12519.79639,Basic,Bachelor,Employed,M,34179,Suburban,Married,107,15,26,0,2,Corporate Auto,Corporate L3,Offer2,Web,770.4,Sports Car,2
