,Country,MIN_AGE,MAX_AGE,NumHouseChildren,NumMaleChildrenHousehold,NumFemaleChildrenHousehold,Units,Units7,Units30,Units90,Units180,Units360,FrequencyLF,FrequencyApp,FreqGamePlay,FrequencyLF7,FrequencyApp7,FreqGamePlay7,FrequencyLF30,FrequencyApp30,FreqGamePlay30,FrequencyLF90,FrequencyApp90,FreqGamePlay90,FrequencyLF180,FrequencyApp180,FreqGamePlay180,FrequencyLF360,FrequencyApp360,FreqGamePlay360,TotalRevenueGenerated,Revenue7,Revenue30,Revenue90,Revenue180,Revenue360,TotalTimeGamePlay,TotalTimeGamePlay7,TotalTimeGamePlay30,TotalTimeGamePlay90,TotalTimeGamePlay180,TotalTimeGamePlay360,NumGamesBought,NumGamesPlayed,NumGamesPlayed7,NumGamesPlayed30,NumGamesPlayed90,NumGamesPlayed180,NumGamesPlayed360,RecencyApp,RecencyApp7,RecencyApp30,RecencyApp90,RecencyApp180,RecencyApp360,RecencyLF,RecencyLF7,RecencyLF30,RecencyLF90,RecencyLF180,RecencyLF360,Recencydown,Recencydown7,Recencydown30,Recencydown90,Recencydown180,Recencydown360,maxRecencyCum,minRecencyCum,maxRecencyCum7,minRecencyCum7,maxRecencyCum30,minRecencyCum30,maxRecencyCum90,minRecencyCum90,maxRecencyCum180,minRecencyCum180,maxRecencyCum360,minRecencyCum360,FavSourceBin,FavChannelBin,FavChannel7Bin,FavSource7Bin,FavChannel30Bin,FavSource30Bin,FavChannel90Bin,FavSource90Bin,FavChannel180Bin,FavSource180Bin,FavChannel360Bin,FavSource360Bin,FavGameBin,FavGame7Bin,FavGame30Bin,FavGame90Bin,FavGame180Bin,FavGame360Bin,StrengthOfFavoriteGame,TenureDays
FrequencyLF90,NA,-0.002193704,0.010011777,0.032861208,0.016138668,0.020022804,0.145357468,0.093499949,0.285839119,0.385850042,0.327478047,0.220103918,0.35377459,0.042191851,0.049528078,0.29901908,0.032764368,0.01238441,0.747706509,0.053616327,0.030801985,1,0.103486613,0.05874092,0.910331606,0.106325675,0.061516927,0.37810104,0.078435718,0.068713652,0.204353839,0.161343674,0.41523747,0.577105969,0.4895913,0.240646389,0.042999449,0.000260985,0.006628797,0.009686506,0.013037625,0.053738615,0.042191851,0.08407385,0.018278523,0.068051968,0.105072465,0.104978096,0.098065968,0.00774452,0.01725121,0.025414977,0.042235664,0.056302538,0.047498397,0.504581359,0.232954108,0.469141925,0.673121561,0.737336891,0.633241985,0.008393342,0.023239911,0.040035831,0.050901791,0.053066184,0.046942714,0.259550951,0.022656054,0.056819804,0.05280445,0.10501767,0.085407171,0.176695661,0.14722225,0.212425701,0.185545604,0.208697967,0.13196642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5820124
FrequencyApp90,0.022320695,0.011539273,0.042063141,0.129660232,0.069542186,0.073040666,0.365975444,0.614947169,0.785108203,0.933963837,0.853543956,0.568667046,0.029786166,0.377420699,0.217263074,0.073823668,0.624520673,0.116830873,0.079387424,0.838524714,0.194428898,0.103486613,1,0.296548685,0.095822014,0.902568995,0.282029126,0.037541216,0.616468784,0.292489151,0.277221854,0.550289311,0.686869368,0.793277354,0.742696413,0.343002883,0.067633927,0.024649638,0.042368276,0.056484832,0.070305963,0.079524758,0.377420699,0.340374215,0.191416121,0.353017041,0.452658693,0.434497932,0.404390103,0.282586858,0.43598422,0.529178436,0.549468001,0.576713366,0.486579698,0.096040967,0.059741084,0.099075472,0.12556925,0.131578431,0.122975461,0.048790278,0.25685148,0.30554426,0.318170851,0.31860688,0.264342616,0.318594391,0.068594229,0.434555023,0.419771106,0.527733551,0.489249932,0.553737626,0.49029719,0.568168387,0.525282937,0.494255974,0.36083565,0.094030806,-0.321106267,NA,NA,NA,NA,NA,NA,NA,-0.744040453,-0.267764733,-0.656127592,0.1678101,NA,NA,-0.092862158,-0.022353311,0.064604665,0.134453124,-0.122368996
FreqGamePlay90,NA,0.005620443,0.037751028,0.110264305,0.07640257,0.044559186,0.118048012,0.156274398,0.222172599,0.305902822,0.3013037,0.206368105,0.03948077,0.108303209,0.496311235,0.035812818,0.142375619,0.370736564,0.043602639,0.209088413,0.749422476,0.05874092,0.296548685,1,0.061427141,0.290972731,0.813089427,0.042227761,0.200064892,0.667136511,0.103779457,0.137694543,0.192249935,0.259783526,0.264047751,0.136004051,0.078702305,0.014753429,0.048983765,0.07990137,0.096811279,0.088214497,0.108303209,0.428526291,0.274580878,0.440063177,0.597650749,0.556282168,0.493219736,0.139749112,0.148188512,0.199096151,0.237114435,0.266336466,0.250429624,0.073447542,0.038547436,0.064544722,0.075027565,0.084233291,0.07819109,0.00996941,0.08966803,0.110984402,0.118421348,0.119231828,0.092908184,0.169850729,0.029527883,0.161351087,0.156551421,0.22063028,0.210907345,0.259607277,0.232654405,0.276809548,0.256847752,0.251969302,0.171567666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.075807853
FrequencyLF180,NA,-0.002984311,0.008410773,0.032892936,0.017179656,0.018999382,0.155184483,0.082914023,0.26079821,0.353046585,0.346082864,0.236515676,0.399014214,0.036566653,0.052824371,0.269569765,0.028092972,0.009836004,0.676957643,0.050541494,0.028615461,0.910331606,0.095822014,0.061427141,1,0.102025254,0.067713105,0.422950664,0.074784201,0.072416838,0.226572194,0.144747011,0.377856225,0.527562765,0.524840443,0.265761741,0.03984782,5.57E-05,0.006018899,0.009045301,0.012774471,0.049525151,0.036566653,0.088881414,0.014058791,0.063837168,0.100207794,0.10737426,0.102506087,0.003649209,0.014832479,0.021918542,0.036736701,0.052012084,0.04338349,0.546685805,0.209761128,0.425776824,0.613060209,0.723752784,0.673829679,0.002368081,0.022628391,0.038926927,0.048864907,0.050825912,0.04458397,0.27440039,0.029804678,0.051495507,0.047905614,0.095828711,0.077400174,0.160450006,0.13299097,0.207875973,0.179535702,0.218935105,0.138633748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618877107
FrequencyApp180,0.023633,0.017450969,0.044289849,0.141228866,0.080817972,0.07440071,0.417602262,0.534820962,0.703857654,0.85502835,0.948603485,0.640700704,0.033335886,0.430823043,0.251963521,0.064112254,0.537027884,0.116918537,0.083089979,0.739952666,0.19284592,0.106325675,0.902568995,0.290972731,0.102025254,1,0.328735961,0.041048121,0.693520473,0.33541693,0.319800617,0.47743797,0.620986776,0.733223689,0.828800862,0.389148942,0.077214664,0.020437796,0.037845143,0.052230745,0.074967325,0.089901741,0.430823043,0.384154492,0.190980265,0.346724708,0.442357738,0.480902723,0.45252646,0.271451529,0.386591904,0.474898231,0.497985518,0.500879396,0.484823962,0.099320261,0.052830632,0.092662063,0.120750179,0.130535108,0.125391513,0.037350244,0.238930301,0.284091187,0.298016406,0.298921711,0.244937536,0.308035687,0.060185074,0.394533529,0.381516849,0.484166314,0.449091284,0.512166589,0.454261609,0.517559338,0.453686735,0.494050525,0.361060094,0.100195365,-0.340699401,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.688130939,0.191863609,NA,NA,-0.091049971,-0.020898381,0.078565624,0.151284235,-0.124884427
FreqGamePlay180,0.02994617,0.018342622,0.041898975,0.120067313,0.092730954,0.038823529,0.145968635,0.158011864,0.219136467,0.292022191,0.339118893,0.243435398,0.044362372,0.134463279,0.603923706,0.031429968,0.144917625,0.301891525,0.041455597,0.206378318,0.589312176,0.061516927,0.282029126,0.813089427,0.067713105,0.328735961,1,0.048024622,0.237905854,0.814076627,0.1238808,0.137055934,0.188203185,0.249021428,0.299220056,0.158212682,0.095068593,0.01218891,0.040178216,0.06844811,0.116667024,0.106541083,0.134463279,0.500238512,0.246300573,0.399247689,0.544157434,0.636765416,0.573022281,0.128918527,0.148892872,0.195557756,0.228347674,0.240244289,0.254065065,0.081975128,0.035855424,0.066606886,0.079159036,0.089112385,0.086108904,0.00595779,0.085927741,0.103704615,0.11042735,0.111132876,0.082664149,0.163880174,0.01991228,0.159419416,0.155601347,0.213199623,0.206229661,0.250463074,0.227883471,0.2579598,0.229400025,0.254603804,0.171122226,0.049729322,-0.066437237,NA,NA,NA,NA,NA,NA,NA,NA,-0.19224891,-0.322509127,0.267078853,-0.127134053,-0.107659321,-0.008391635,0.068289619,0.161767279,0.168215175,-0.083240482
FrequencyLF360,0.598581742,0.009722589,0.024166038,0.05047148,0.021826151,0.0337643,0.271102137,0.031928368,0.104210786,0.142673018,0.142688737,0.427287483,0.928670826,-0.022003908,0.037730004,0.12417116,0.007393745,0.007642108,0.273077552,0.018471686,0.020262531,0.37810104,0.037541216,0.042227761,0.422950664,0.041048121,0.048024622,1,0.020975852,0.056023374,0.666287555,0.057981127,0.15088541,0.214760018,0.218151675,0.785794494,0.023254818,-0.000779503,0.003667507,0.004560106,0.007348339,0.031438935,-0.022003908,0.067621158,0.013381042,0.041206764,0.06097821,0.068560426,0.075235427,-0.088502906,0.004887111,0.007348372,0.0119781,0.01236615,4.22E-05,0.630064313,0.09170515,0.185512785,0.263023697,0.312314826,0.417783601,-0.017962552,-0.002044063,0.00244628,0.005809359,0.006559077,0.006196375,0.16472218,0.03957139,0.014211786,0.013179346,0.033023311,0.026547046,0.061273075,0.049535953,0.079261955,0.06864468,0.119368043,0.034264068,0.229353181,NA,-0.007875423,-0.014006057,-0.014836517,-0.020847875,-0.019749769,-0.032469373,-0.017881343,-0.029974215,0.035550499,0.032243228,0.098190895,0.006747941,0.008013027,0.028966597,0.038952173,0.051044781,0.059626564,-0.38543208
FrequencyApp360,0.054566108,0.008306607,0.046688679,0.158590777,0.091819008,0.082463386,0.558209847,0.356832455,0.473720284,0.586611869,0.662195095,0.889705807,0.015049597,0.599525573,0.240418194,0.037456292,0.354718018,0.082626662,0.056734132,0.497375223,0.131208788,0.078435718,0.616468784,0.200064892,0.074784201,0.693520473,0.237905854,0.020975852,1,0.315980529,0.378083919,0.316298513,0.417895431,0.505190831,0.580859065,0.481208808,0.075296738,0.010890917,0.022450268,0.038082568,0.056532184,0.087368741,0.599525573,0.365853352,0.13936444,0.249732155,0.317002553,0.352791947,0.415033323,0.161669535,0.253344017,0.313148704,0.328875447,0.33226282,0.24324328,0.06871202,0.031690313,0.06564838,0.093190356,0.100920973,0.093016175,0.050282933,0.159671288,0.194535954,0.20841504,0.210028617,0.152792613,0.165682412,0.072845465,0.260730029,0.251440675,0.325102648,0.300594682,0.34774916,0.30734177,0.353640414,0.308387155,0.270817134,0.170612907,0.084130971,-0.465317968,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89153302,0.200811502,-0.152385164,-0.131515497,-0.063929599,-0.011715333,0.031780984,0.153482293,-0.092255435
FreqGamePlay360,0.039396597,0.016842476,0.046239836,0.156189853,0.11715629,0.054035435,0.201476484,0.169084334,0.233785307,0.301285124,0.344272863,0.318562041,0.05238758,0.188957039,0.744744089,0.027095726,0.154754348,0.23660086,0.045650499,0.222563552,0.46467673,0.068713652,0.292489151,0.667136511,0.072416838,0.33541693,0.814076627,0.056023374,0.315980529,1,0.16336327,0.144617085,0.200195972,0.257011915,0.303121033,0.20103081,0.120574987,0.009986116,0.033695806,0.0602142,0.100167472,0.136070516,0.188957039,0.601116934,0.222396484,0.373784539,0.511560716,0.593659341,0.683139659,0.118639705,0.163326151,0.205703148,0.244447075,0.255556393,0.242874381,0.092354449,0.034308775,0.071166799,0.089439556,0.097553749,0.095398472,0.015836545,0.085087993,0.105095012,0.11354406,0.114633345,0.079732658,0.159375095,0.010873011,0.172883883,0.170554703,0.221672506,0.214534932,0.263796503,0.245700915,0.273516526,0.248879169,0.251644117,0.153199912,0.06424383,-0.081789932,NA,NA,NA,NA,NA,NA,NA,NA,-0.248566039,-0.414961678,0.329775737,-0.134939479,-0.112726557,-0.016808146,0.054806395,0.197300614,0.218269818,-0.091392586
TotalRevenueGenerated,0.257537323,0.010754462,0.042293891,0.15038503,0.077590645,0.087834438,0.766820986,0.158790667,0.240909552,0.319263239,0.360964031,0.626509982,0.68542527,0.554895742,0.21615324,0.072085421,0.144507811,0.037170133,0.137501448,0.209039274,0.062721883,0.204353839,0.277221854,0.103779457,0.226572194,0.319800617,0.1238808,0.666287555,0.378083919,0.16336327,1,0.165331307,0.256826945,0.344518371,0.393056919,0.832752511,0.062063072,-7.37E-06,0.006668623,0.012988357,0.023086463,0.053253476,0.554895742,0.320265849,0.071880316,0.13113902,0.173462187,0.196279461,0.23127713,-0.168999344,0.09216972,0.104554985,0.10072747,0.090146221,0.046260864,0.455077838,0.05281359,0.107502743,0.151666026,0.178067792,0.262249879,0.003979035,0.05162466,0.065090396,0.071598806,0.072565244,0.05545979,0.050679774,-0.149861709,0.095246523,0.090751386,0.120363927,0.10509559,0.133131247,0.105847651,0.136552833,0.104470442,0.130113024,0.045580095,0.241019621,0.306700512,-0.149752475,-0.163671517,-0.151436766,-0.185756834,-0.153565846,-0.200683213,-0.151065872,-0.205926721,-0.101385614,-0.162233748,0.193232194,-0.052164991,-0.033610872,0.014529815,0.041803561,0.068391037,0.150777453,-0.219014674
Revenue7,0.00301006,0.010979288,0.019242771,0.066165998,0.024723585,0.048218976,0.191725789,0.912253159,0.657359129,0.55272316,0.481332501,0.310149942,0.050251191,0.185181213,0.098710022,0.477166584,0.820315975,0.121432842,0.208571032,0.625201631,0.114580814,0.161343674,0.550289311,0.137694543,0.144747011,0.47743797,0.137055934,0.057981127,0.316298513,0.144617085,0.165331307,1,0.694155523,0.541750314,0.473682001,0.211035796,0.052772998,0.022879495,0.03285045,0.04205699,0.048891954,0.066217203,0.185181213,0.163451197,0.186992967,0.226950352,0.238443794,0.221031646,0.19909954,0.201656855,0.598059599,0.553008962,0.451533257,0.399887482,0.316326641,0.127606402,0.354183691,0.316718622,0.243954366,0.208319669,0.156868579,0.047507061,0.263322596,0.256300764,0.239159785,0.233181312,0.205805216,0.249563166,0.064522026,0.566527708,0.544932415,0.539842421,0.526495739,0.453548418,0.435981465,0.406705792,0.388455485,0.33557371,0.250810896,0.048102418,-0.028582694,NA,NA,NA,NA,NA,NA,NA,NA,-0.186610807,NA,0.088107782,NA,-0.105811516,-0.055735154,-0.025678281,0.030449152,0.065991706,-0.16060302
Revenue30,0.015452547,0.008661153,0.024891644,0.098166099,0.046485088,0.061569071,0.281248649,0.651704528,0.919722586,0.765042176,0.682365679,0.445474312,0.135023999,0.248290246,0.145874174,0.311411852,0.580910238,0.099162858,0.546778475,0.778882322,0.167999181,0.41523747,0.686869368,0.192249935,0.377856225,0.620986776,0.188203185,0.15088541,0.417895431,0.200195972,0.256826945,0.694155523,1,0.767429542,0.691860077,0.317523095,0.074055228,0.015067584,0.03257669,0.040156336,0.05005683,0.091215214,0.248290246,0.23961841,0.158920682,0.310958035,0.329797029,0.312119906,0.287816446,0.222965446,0.44080455,0.517613852,0.524719603,0.471996111,0.380690519,0.258174601,0.240917575,0.41091196,0.433087989,0.394526677,0.321395301,0.058935103,0.242501864,0.290526074,0.304188421,0.30498194,0.263915672,0.344263579,0.070762203,0.449510209,0.433467307,0.548805912,0.49848591,0.565215948,0.528925491,0.527234112,0.48567706,0.451181355,0.320609857,0.07808574,0.002681709,NA,NA,NA,NA,NA,NA,NA,NA,-0.219079057,NA,0.124539091,NA,-0.159677174,-0.070462817,-0.0202038,0.046715367,0.093188023,-0.314837442
Revenue90,0.0409827,0.01105541,0.039462735,0.114999773,0.059266613,0.067235458,0.353806137,0.514954593,0.718842647,0.91791438,0.834010471,0.554610995,0.194075859,0.300922906,0.190152119,0.22401237,0.46555282,0.097025963,0.380409981,0.624665245,0.167569437,0.577105969,0.793277354,0.259783526,0.527562765,0.733223689,0.249021428,0.214760018,0.505190831,0.257011915,0.344518371,0.541750314,0.767429542,1,0.908944737,0.421395411,0.071021056,0.014237598,0.030258094,0.044648266,0.056880932,0.085261269,0.300922906,0.296907172,0.152092359,0.301034941,0.399074291,0.385262209,0.356059855,0.223453798,0.350841293,0.414662019,0.43396779,0.468083021,0.399982928,0.330218086,0.171837938,0.295254015,0.420622803,0.464929358,0.409066725,0.052019111,0.213625265,0.260775892,0.275544593,0.276829999,0.230885899,0.381215164,0.06449733,0.370122897,0.357578369,0.455317416,0.414793287,0.507228871,0.438910705,0.5427627,0.488343795,0.485287175,0.339340263,0.094042018,0.021433062,NA,NA,NA,NA,NA,NA,NA,NA,-0.257576732,NA,0.143810601,NA,NA,-0.071215577,-0.015579374,0.054548455,0.12036629,-0.392079822
Revenue180,0.039522103,0.019991388,0.042563542,0.128045405,0.071603744,0.069153807,0.404273074,0.457516018,0.65632833,0.848511614,0.926430956,0.627250539,0.198628949,0.350711845,0.226648694,0.184318126,0.41319552,0.100266056,0.323430132,0.574813488,0.171242247,0.4895913,0.742696413,0.264047751,0.524840443,0.828800862,0.299220056,0.218151675,0.580859065,0.303121033,0.393056919,0.473682001,0.691860077,0.908944737,1,0.47438289,0.076929547,0.012244133,0.028569072,0.042935137,0.063084092,0.091257541,0.350711845,0.345220135,0.158284075,0.306655884,0.401710535,0.437413601,0.409943383,0.218859401,0.322619137,0.385835676,0.406388711,0.417828644,0.408661009,0.324678432,0.142333143,0.251286121,0.360237004,0.421643487,0.395722359,0.0380449,0.206383997,0.250820156,0.266615595,0.268215793,0.218036424,0.3727875,0.062167971,0.34606447,0.334534163,0.428466853,0.390685721,0.476942467,0.413121787,0.505841915,0.432913032,0.492689382,0.343998577,0.101791728,0.028069249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170139946,NA,-0.148658785,-0.070225437,-0.01168303,0.074583482,0.138372656,-0.379817325
Revenue360,0.260204168,0.024045688,0.046743917,0.127613104,0.059875946,0.080600714,0.475356239,0.203498291,0.300779991,0.392895214,0.438216683,0.771158767,0.723186323,0.249071489,0.149214762,0.093039596,0.181530543,0.051868971,0.157404547,0.26197409,0.085311724,0.240646389,0.343002883,0.136004051,0.265761741,0.389148942,0.158212682,0.785794494,0.481208808,0.20103081,0.832752511,0.211035796,0.317523095,0.421395411,0.47438289,1,0.054467393,0.00371481,0.012448317,0.021371456,0.032640689,0.067529365,0.249071489,0.230395132,0.084377742,0.157767822,0.206456562,0.230337782,0.264503731,0.00416502,0.139301254,0.168282859,0.176506983,0.177183504,0.128679728,0.531891646,0.067762644,0.129142994,0.183167844,0.216306698,0.320667717,0.012001058,0.083830607,0.104364246,0.112950396,0.11407691,0.082647182,0.199739168,0.069661181,0.148645088,0.143686881,0.189045145,0.17178115,0.213908556,0.183670313,0.227143564,0.193203014,0.222796448,0.102217084,0.250599156,0.350547072,-0.200111742,-0.212938407,-0.216334162,-0.253113774,-0.231375822,-0.284246715,-0.237375471,-0.300424232,-0.263562296,-0.351452573,0.169254425,-0.093541048,-0.07027207,-0.017302865,0.016690753,0.052813566,0.11934434,-0.305923102
TotalTimeGamePlay,NA,0.00191764,0.010492049,0.040214813,0.019832009,0.024420209,0.079420116,0.053920403,0.070073256,0.07498131,0.082746612,0.078840985,0.02204943,0.07311174,0.133779969,0.007769301,0.056590177,0.03319686,0.051631614,0.059252463,0.049224302,0.042999449,0.067633927,0.078702305,0.03984782,0.077214664,0.095068593,0.023254818,0.075296738,0.120574987,0.062063072,0.052772998,0.074055228,0.071021056,0.076929547,0.054467393,1,0.436109762,0.440261908,0.571300248,0.577790123,0.789762116,0.07311174,0.129417608,0.040451114,0.062747882,0.087919524,0.098171602,0.1157281,0.009512308,0.049452522,0.072760896,0.065618108,0.064860349,0.053302334,0.017710347,0.005795356,0.050541896,0.048179976,0.044669511,0.016891444,0.00669424,0.055620657,0.065906502,0.063237497,0.062097918,0.055540237,0.028202756,-0.029241683,0.059841777,0.054071984,0.076813569,0.074717891,0.078187458,0.068647238,0.074135902,0.067415735,0.06198399,0.040362417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015500003
TotalTimeGamePlay7,NA,0.001707004,0.001183762,0.010401953,-0.004275459,0.015880848,-8.68E-05,0.026689512,0.017900229,0.017629463,0.014905253,0.007121308,-0.000960872,0.002299689,0.005807327,0.000900873,0.039373455,0.03870208,0.000367949,0.027609739,0.018997359,0.000260985,0.024649638,0.014753429,5.57E-05,0.020437796,0.01218891,-0.000779503,0.010890917,0.009986116,-7.37E-06,0.022879495,0.015067584,0.014237598,0.012244133,0.00371481,0.436109762,1,0.994784321,0.76824728,0.760617992,0.553938227,0.002299689,0.007360375,0.031540792,0.021843872,0.016498899,0.014185733,0.010985332,0.026638942,0.013035338,0.033073157,0.011367533,0.020564031,0.024573486,0.000279602,0.001281543,0.001421351,0.001441386,0.001376871,0.001064274,-0.002161184,0.030847816,0.037558009,0.035250869,0.034421614,0.039191106,0.026793819,0.002944386,0.026512579,0.011876634,0.031623359,0.030096918,0.02895715,0.010587562,0.026864065,0.01919821,0.026253056,0.025725653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001240314
TotalTimeGamePlay30,NA,0.002665298,0.003120736,0.016467321,-0.000405026,0.018669845,0.006869216,0.036550704,0.037536397,0.036346696,0.033154007,0.019641087,0.003188949,0.008261887,0.023860195,0.014099393,0.047463006,0.042491636,0.007703737,0.045715545,0.058987698,0.006628797,0.042368276,0.048983765,0.006018899,0.037845143,0.040178216,0.003667507,0.022450268,0.033695806,0.006668623,0.03285045,0.03257669,0.030258094,0.028569072,0.012448317,0.440261908,0.994784321,1,0.772912312,0.766101176,0.558718574,0.008261887,0.02707161,0.037922061,0.052998205,0.045326808,0.040405845,0.034224802,0.035134755,0.020822866,0.045054458,0.026720874,0.036256712,0.03890876,0.00385255,0.005780383,0.008219505,0.00796933,0.007691774,0.00436712,-0.002166883,0.034172488,0.042725316,0.040768374,0.039977756,0.043303194,0.036110916,0.005238869,0.034190898,0.01922462,0.044925669,0.041562332,0.0446763,0.025164453,0.042835699,0.034011967,0.040267742,0.034938629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004598079
TotalTimeGamePlay90,NA,0.000115472,0.004798228,0.024279724,0.009233299,0.017530374,0.016799259,0.046619544,0.046066857,0.052840107,0.049543707,0.036191652,0.003959938,0.017342058,0.043244294,0.013079534,0.053089298,0.037884326,0.008459031,0.051165126,0.05325275,0.009686506,0.056484832,0.07990137,0.009045301,0.052230745,0.06844811,0.004560106,0.038082568,0.0602142,0.012988357,0.04205699,0.040156336,0.044648266,0.042935137,0.021371456,0.571300248,0.76824728,0.772912312,1,0.992010425,0.724344643,0.017342058,0.050021554,0.038090211,0.055482825,0.077779769,0.070464992,0.061690539,0.035866128,0.045543653,0.062550533,0.046431666,0.054745165,0.057671931,0.009664898,0.007595894,0.010498315,0.014102466,0.014653182,0.011467615,0.000496534,0.056988886,0.059019204,0.055444803,0.054153383,0.058721432,0.03862216,0.007847608,0.052463701,0.041355628,0.060159283,0.058221514,0.059526879,0.043448262,0.059507823,0.051253181,0.057657194,0.050742365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011656532
TotalTimeGamePlay180,NA,2.57E-05,0.00651974,0.030842555,0.014325656,0.01962833,0.030059849,0.054766955,0.057703442,0.067315841,0.072680075,0.054652038,0.006915303,0.029958444,0.073677233,0.014654779,0.060290686,0.044895091,0.010669627,0.062183454,0.063136736,0.013037625,0.070305963,0.096811279,0.012774471,0.074967325,0.116667024,0.007348339,0.056532184,0.100167472,0.023086463,0.048891954,0.05005683,0.056880932,0.063084092,0.032640689,0.577790123,0.760617992,0.766101176,0.992010425,1,0.731573225,0.029958444,0.081888363,0.046296437,0.070800969,0.097945162,0.108929094,0.097021513,0.040429443,0.05269084,0.071871905,0.056150557,0.062448592,0.06934915,0.014099599,0.009128891,0.013903512,0.018283391,0.019058619,0.016205099,0.00297008,0.061683913,0.065270153,0.061843051,0.060535154,0.063243553,0.045946414,0.007300936,0.059878007,0.048758754,0.070634313,0.068484967,0.071084745,0.054068206,0.070157357,0.05914628,0.07034746,0.059688846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015896073
TotalTimeGamePlay360,NA,0.001875724,0.008404696,0.035086916,0.014957111,0.023692083,0.058185024,0.066547656,0.08473262,0.0885799,0.09676167,0.093305411,0.028114945,0.051161974,0.099518713,0.011421184,0.069516002,0.039312718,0.065231101,0.071178331,0.056539705,0.053738615,0.079524758,0.088214497,0.049525151,0.089901741,0.106541083,0.031438935,0.087368741,0.136070516,0.053253476,0.066217203,0.091215214,0.085261269,0.091257541,0.067529365,0.789762116,0.553938227,0.558718574,0.724344643,0.731573225,1,0.051161974,0.107684614,0.046880939,0.070616846,0.095826608,0.106906567,0.127452147,0.038420627,0.061477932,0.091476374,0.081857101,0.081647577,0.067995775,0.023294502,0.00850398,0.064182945,0.060272131,0.055273213,0.020833558,0.004693545,0.056981781,0.071083369,0.068791273,0.067696365,0.070479881,0.044569324,0.009121057,0.065079875,0.057363753,0.087639781,0.085013724,0.089735183,0.077767609,0.085308054,0.077344064,0.078723659,0.050370133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.020282721
NumGamesBought,0.066412814,-0.022962452,0.027826567,0.164801834,0.107151215,0.073758224,0.913072353,0.213363445,0.28491198,0.354989711,0.406275194,0.515589652,-0.007579346,1,0.271903681,0.014389618,0.218374532,0.043181398,0.034565604,0.30388318,0.068880399,0.042191851,0.377420699,0.108303209,0.036566653,0.430823043,0.134463279,-0.022003908,0.599525573,0.188957039,0.554895742,0.185181213,0.248290246,0.300922906,0.350711845,0.249071489,0.07311174,0.002299689,0.008261887,0.017342058,0.029958444,0.051161974,1,0.411320129,0.089660975,0.155084653,0.198099852,0.224204179,0.272035585,-0.133246434,0.126084328,0.147302011,0.141758679,0.127871926,0.06638592,-5.87E-05,0.015322497,0.036525339,0.051341554,0.051554657,0.031453969,0.025309659,0.075069437,0.09162432,0.099150113,0.100136314,0.077662541,-0.071694437,-0.232525459,0.124904838,0.118670519,0.152344812,0.136040448,0.154160049,0.126702178,0.14550745,0.112283472,0.085656786,0.052028877,0.048624834,-0.726036131,-0.180969222,NA,-0.18460823,NA,-0.176398233,NA,-0.165363182,NA,-0.164891727,-0.307082591,0.176737614,-0.082146857,-0.065872688,-0.010375984,0.026790623,0.049577849,0.158369331,-0.022781709
NumGamesPlayed,0.072680828,-0.006396368,0.060892643,0.247560279,0.149825291,0.122119711,0.430421889,0.193272222,0.276303358,0.350878488,0.395608273,0.369168855,0.079455296,0.411320129,0.651227282,0.02844771,0.184847055,0.178595528,0.065279977,0.264062704,0.272685724,0.08407385,0.340374215,0.428526291,0.088881414,0.384154492,0.500238512,0.067621158,0.365853352,0.601116934,0.320265849,0.163451197,0.23961841,0.296907172,0.345220135,0.230395132,0.129417608,0.007360375,0.02707161,0.050021554,0.081888363,0.107684614,0.411320129,1,0.353237619,0.551427137,0.695260438,0.773871784,0.876623437,0.000114861,0.166729797,0.211850486,0.235552163,0.232339349,0.215215697,0.105075076,0.032465273,0.07223067,0.096980831,0.105577136,0.107863234,0.028909939,0.08846847,0.107546175,0.112374106,0.112615333,0.080671747,0.106133516,-0.160637366,0.172622536,0.168798865,0.22848564,0.213185208,0.256090332,0.232440534,0.258132971,0.227677281,0.236000608,0.138498035,0.086560162,-0.170894215,-0.211727129,-0.231617956,NA,-0.296703935,NA,-0.358044296,NA,-0.391911202,-0.174293843,-0.300963202,0.527782855,-0.136751243,-0.069650673,0.050682066,0.13164278,0.269141793,0.365314632,-0.09532253
