"","City","NoOfChildren","MinAgeOfChild","Tenure","FrquncyOfPurchase","NoOfUnitsPurchased","FrequencyOFPlay","NoOfGamesBought","FavoriteChannelOfTransaction","FavoriteGame","TotalRevenueGenerated"
"285",2,2,4,137,12,12,727,12,"Favorite","Uniform",113.77
"332",2,1,5,228,8,8,1625,8,"Favorite","Uniform",118.31
"2786",1,2,4,432,17,17,2864,17,"Uniform","Uniform",130.04
"2770",1,1,5,459,21,21,734,21,"Favorite","Uniform",167
"3156",1,1,7,272,12,11,1226,12,"Favorite","Uniform",107.5
"2542",1,1,6,408,14,11,945,12,"Favorite","Uniform",125.48
"1618",1,2,2,371,13,11,1850,13,"Favorite","Uniform",155
"1110",1,2,4,363,8,8,256,8,"Favorite","Uniform",102.5
"1262",1,2,6,148,19,19,1036,19,"Favorite","Uniform",235
"3047",1,3,4,386,13,13,3377,13,"Favorite","Uniform",137.5
"232",2,2,5,369,9,8,892,9,"Uniform","Uniform",103.87
"951",1,2,6,460,21,17,2652,19,"Uniform","Uniform",150.53
"3079",1,2,4,321,16,15,5695,14,"Uniform","Uniform",152.49
"888",1,1,4,347,12,12,220,7,"Favorite","Uniform",133.45
"2327",1,4,5,386,10,9,1222,4,"Favorite","Uniform",207.5
"602",1,2,8,390,10,16,2428,4,"Favorite","Uniform",397.5
"1393",1,2,3,431,16,14,2545,16,"Uniform","Uniform",107.51
"772",1,1,4,369,9,9,1134,9,"Favorite","Uniform",101.25
"537",1,2,10,326,11,11,976,11,"Favorite","Uniform",102.5
"2656",1,1,6,212,13,13,631,13,"Favorite","Uniform",177.51
"899",1,6,4,367,17,16,1932,17,"Uniform","Uniform",140.02
"1336",1,1,5,259,9,9,1540,9,"Favorite","Uniform",115
"3175",1,3,1,297,25,15,11,20,"Uniform","Favorite",287.48
"1527",1,3,4,457,46,46,1628,39,"Favorite","Uniform",458.41
"1797",1,1,5,457,22,18,2518,21,"Favorite","Uniform",159.99
"1662",1,2,6,397,19,19,1601,19,"Favorite","Uniform",176.9
"897",1,5,3,309,16,17,802,10,"Favorite","Uniform",212.93
"2482",1,2,4,413,26,26,1194,26,"Favorite","Uniform",191.25
"1744",1,2,4,347,8,8,838,8,"Favorite","Favorite",110
"843",1,1,4,249,12,12,149,8,"Favorite","Favorite",121.15
"1080",1,2,6,463,12,12,1675,12,"Favorite","Uniform",175
"447",1,2,3,373,28,16,366,26,"Uniform","Uniform",133.55
"2398",1,1,5,432,14,14,123,14,"Favorite","Uniform",100
"2649",1,2,4,228,7,7,6,2,"Favorite","Favorite",219.99
"1566",1,2,4,433,34,27,1072,34,"Uniform","Uniform",193.76
"916",1,2,6,179,11,12,974,3,"Favorite","Uniform",245.73
"3121",1,1,7,394,10,10,1979,10,"Favorite","Uniform",135
"3154",1,2,6,406,44,37,568,36,"Favorite","Uniform",392.4
"1700",1,2,5,264,13,13,3440,11,"Favorite","Uniform",101
"2885",1,4,6,166,15,15,228,15,"Favorite","Uniform",160
"1351",1,2,4,394,26,19,1574,26,"Favorite","Uniform",155.02
"276",2,2,5,453,12,12,2476,12,"Favorite","Uniform",148.38
"2781",1,2,5,415,24,23,2152,24,"Favorite","Uniform",192.52
"784",1,3,3,468,16,16,1518,16,"Favorite","Uniform",157.25
"1617",1,2,2,375,17,17,763,17,"Favorite","Uniform",128.5
"2025",1,3,4,167,6,6,2338,1,"Favorite","Uniform",172.5
"458",1,1,5,399,11,10,692,3,"Favorite","Uniform",167.93
"2396",1,2,7,233,9,9,583,9,"Favorite","Uniform",103.75
"1959",1,2,4,414,21,15,7946,21,"Uniform","Uniform",105.01
"2101",1,1,4,465,22,19,1921,22,"Favorite","Uniform",220
"407",1,1,3,349,29,29,58,29,"Favorite","Uniform",315
"989",1,3,7,301,10,10,180,8,"Favorite","Uniform",150.48
"1859",1,3,6,178,11,9,133,11,"Favorite","Favorite",175
"2999",1,3,2,414,14,13,1669,10,"Favorite","Uniform",164.9
"965",1,1,5,349,16,14,4349,16,"Favorite","Uniform",174.5
"664",1,2,7,359,7,7,398,7,"Favorite","Uniform",100
"2896",1,1,5,348,9,9,979,9,"Favorite","Uniform",105
"2775",1,3,4,447,14,13,1326,8,"Favorite","Uniform",282.95
"2452",1,5,4,365,11,11,370,11,"Favorite","Uniform",152.5
"2235",1,3,3,152,12,12,878,12,"Favorite","Uniform",125
"2058",1,2,5,268,22,20,2863,22,"Favorite","Uniform",186.25
"427",1,1,6,409,12,12,1291,12,"Favorite","Uniform",115
"344",2,1,4,163,11,11,89,11,"Favorite","Uniform",134.21
"2680",1,1,4,367,15,15,2448,10,"Favorite","Uniform",226.37
"1199",1,3,5,272,9,10,1140,7,"Favorite","Uniform",108.97
"1275",1,1,4,462,14,12,163,14,"Favorite","Uniform",100
"454",1,3,4,384,15,11,1498,15,"Favorite","Uniform",107.5
"1606",1,3,3,362,8,6,3084,8,"Uniform","Uniform",102.5
"744",1,1,5,418,21,16,638,21,"Favorite","Uniform",125
"632",1,2,6,445,34,23,2144,34,"Uniform","Uniform",197.54
"1896",1,4,4,200,10,8,4073,9,"Uniform","Uniform",107.99
"776",1,2,3,452,21,12,1777,21,"Uniform","Uniform",147.5
"2221",1,2,5,380,16,16,983,16,"Favorite","Uniform",280
"258",2,1,6,405,14,14,2125,14,"Favorite","Uniform",117.16
"2251",1,4,6,437,11,11,729,11,"Favorite","Uniform",115
"1170",1,2,5,440,12,12,681,12,"Favorite","Uniform",171.5
"2069",1,2,3,206,7,7,318,1,"Favorite","Uniform",187.5
"1812",1,1,6,366,9,9,1188,2,"Favorite","Uniform",211.12
"1216",1,2,1,239,18,13,446,18,"Favorite","Uniform",124.5
"1714",1,2,5,370,12,10,1084,12,"Uniform","Uniform",102.5
"3136",1,2,2,380,14,10,6341,14,"Favorite","Uniform",105
"2820",1,4,5,426,15,15,1122,9,"Uniform","Uniform",147.7
"1925",1,1,5,341,11,9,321,11,"Uniform","Favorite",100
"2973",1,2,2,234,29,20,636,29,"Favorite","Uniform",157.25
"2740",1,2,8,437,6,6,34,2,"Favorite","Uniform",179.99
"840",1,1,4,406,19,13,3157,19,"Favorite","Uniform",130
"1875",1,5,5,326,10,10,1433,10,"Favorite","Uniform",120
"2870",1,2,5,462,22,12,653,22,"Favorite","Uniform",110
"316",2,1,6,158,22,22,1070,22,"Favorite","Uniform",222.87
"3130",1,1,6,397,27,26,398,17,"Favorite","Uniform",332.09
"1847",1,2,8,346,14,13,3087,14,"Favorite","Uniform",140
"3166",1,4,4,441,6,6,606,1,"Favorite","Uniform",356.96
"2270",1,2,1,294,15,11,7022,10,"Favorite","Uniform",123
"2642",1,2,5,351,9,9,331,9,"Favorite","Uniform",105
"192",2,1,6,133,12,12,2737,12,"Favorite","Uniform",132.7
"3090",1,1,6,343,8,8,356,2,"Favorite","Uniform",121.13
"1906",1,1,5,240,18,18,758,18,"Favorite","Uniform",158.5
"237",2,2,15,365,21,21,5,21,"Favorite","Uniform",112.62
"2695",1,1,5,432,14,14,399,14,"Favorite","Uniform",122.5
"3172",1,1,5,385,16,14,843,16,"Uniform","Uniform",110.01
"3192",1,1,6,220,7,7,37,7,"Favorite","Uniform",107.5
"1861",1,2,7,343,3,3,0,2,"Uniform","NONE",137.5
"2133",1,2,4,391,17,17,7536,16,"Favorite","Uniform",205.49
"958",1,2,6,355,12,10,2531,12,"Favorite","Uniform",150
"993",1,4,1,414,25,20,2275,25,"Uniform","Uniform",175.01
"778",1,8,4,411,16,16,156,16,"Favorite","Uniform",120
"217",2,3,4,462,12,12,5771,12,"Favorite","Uniform",115.64
"2761",1,3,12,403,13,12,1173,13,"Favorite","Uniform",120
"482",1,3,6,450,21,16,9151,21,"Favorite","Uniform",110.01
"1449",1,1,5,301,10,10,368,10,"Favorite","Uniform",105
"1362",1,3,4,392,6,6,445,2,"Favorite","Uniform",174.99
"3142",1,2,7,367,9,9,894,9,"Favorite","Uniform",105
"2933",1,1,4,370,22,18,1295,22,"Favorite","Uniform",166
"1255",1,2,4,363,17,17,1238,17,"Favorite","Uniform",117.52
"223",2,1,5,247,13,13,150,13,"Favorite","Uniform",106.43
"2954",1,1,8,132,12,11,392,6,"Uniform","Uniform",225
"1067",1,4,4,453,20,20,1622,20,"Favorite","Uniform",170
"1984",1,2,4,456,20,15,1620,13,"Favorite","Uniform",176.84
"463",2,7,1,428,42,38,9538,42,"Favorite","Uniform",439.57
"1225",1,3,4,370,12,9,1033,7,"Favorite","Uniform",137.19
"2074",1,2,3,280,17,12,1220,15,"Favorite","Uniform",125.48
"169",2,1,9,181,18,18,3104,18,"Favorite","Uniform",167.81
"2193",1,2,5,385,14,14,1293,14,"Favorite","Uniform",110.02
"810",1,4,5,459,23,18,3134,23,"Favorite","Uniform",172.5
"981",1,1,8,423,28,25,865,22,"Favorite","Uniform",269.95
"839",1,6,1,431,24,20,1567,23,"Favorite","Uniform",152.41
"2883",1,2,2,180,11,11,453,11,"Favorite","Uniform",112.5
"2796",1,1,7,213,16,12,394,15,"Favorite","Uniform",118.41
"1823",1,4,5,392,36,32,23746,29,"Favorite","Uniform",501.72
"2424",1,1,6,387,1,1,109,0,"Favorite","Uniform",129.99
"69",2,3,3,413,14,14,1324,14,"Favorite","Uniform",115.57
"3031",1,2,5,298,58,57,236,56,"Favorite","Uniform",515.64
"812",1,2,4,446,9,9,290,9,"Favorite","Uniform",137.5
"2516",1,2,4,391,14,12,2977,9,"Favorite","Uniform",289.99
"1842",1,2,5,430,12,12,486,12,"Favorite","Uniform",115
"1197",1,2,5,386,14,17,1012,8,"Favorite","Uniform",161.2
"2185",1,2,8,373,22,13,388,22,"Uniform","Uniform",140
"106",2,1,3,301,17,17,57,17,"Favorite","Uniform",139.66
"1977",1,2,5,197,9,9,1706,9,"Favorite","Uniform",127.5
"933",1,2,3,311,23,21,2486,21,"Favorite","Uniform",229.24
"2216",1,1,5,352,9,9,616,4,"Favorite","Uniform",117.45
"1431",1,1,5,256,23,21,2265,21,"Favorite","Uniform",181.39
"734",1,2,6,213,14,7,2413,14,"Uniform","Uniform",102.5
"2138",1,3,7,376,11,11,406,11,"Favorite","Uniform",127.5
"245",2,2,4,357,10,10,1393,10,"Favorite","Uniform",129.55
"2220",1,4,5,320,12,10,1399,12,"Favorite","Uniform",140
"739",1,2,8,165,6,7,1,0,"Favorite","Favorite",132.95
"2008",1,1,6,262,12,8,76,12,"Favorite","Uniform",102.5
"2569",1,2,2,375,18,18,407,18,"Uniform","Uniform",108.27
"2706",1,1,6,143,8,8,611,2,"Favorite","Uniform",195
"2275",1,3,5,286,10,10,984,10,"Favorite","Uniform",112.5
"2135",1,2,6,460,10,10,2724,10,"Uniform","Uniform",110
"1025",1,1,5,268,14,14,314,14,"Favorite","Uniform",170.75
"872",1,2,3,422,31,31,6453,31,"Favorite","Uniform",315.5
"545",1,2,3,407,21,18,311,16,"Favorite","Uniform",305.89
"1513",1,2,6,302,9,9,914,9,"Favorite","Uniform",102.5
"2359",1,1,6,169,10,10,229,10,"Favorite","Uniform",122.5
"3014",1,3,5,437,9,9,1250,9,"Favorite","Uniform",130
"1558",1,1,9,317,5,5,98,3,"Favorite","Favorite",197.48
"1767",1,1,7,410,10,10,561,10,"Favorite","Uniform",152.5
"1406",2,2,4,421,20,19,8726,20,"Favorite","Uniform",161.91
"1352",1,2,5,127,8,6,970,8,"Uniform","Uniform",100
"43",1,1,6,365,29,29,849,28,"Favorite","Uniform",260.9
"127",2,3,3,377,8,8,1060,8,"Favorite","Uniform",111.11
"2461",1,2,6,324,12,12,794,12,"Favorite","Uniform",160
"3118",1,2,5,308,10,9,1253,10,"Favorite","Uniform",117.5
"533",1,3,7,398,16,13,613,16,"Favorite","Uniform",172.5
"1720",1,2,5,207,11,11,376,11,"Favorite","Uniform",120
"1729",1,1,8,366,13,13,333,13,"Favorite","Uniform",115
"1045",1,1,6,117,23,20,183,23,"Favorite","Uniform",195
"2147",1,4,3,345,12,12,64,12,"Favorite","Uniform",101.25
"1445",1,3,10,327,21,21,569,21,"Favorite","Uniform",263.75
"2337",1,2,4,351,11,11,26,8,"Favorite","Uniform",131.6
"1461",1,2,4,366,7,7,112,7,"Favorite","Favorite",117.5
"2391",1,1,8,391,11,10,2816,11,"Favorite","Uniform",152.5
"1550",1,2,7,286,13,13,2354,11,"Favorite","Uniform",123
"1117",1,1,6,371,22,14,380,22,"Uniform","Uniform",105
"2503",1,4,3,369,22,21,4212,22,"Uniform","Uniform",270
"1868",1,1,7,434,10,10,1026,7,"Favorite","Uniform",158.97
"1089",1,1,4,383,22,17,291,22,"Uniform","Uniform",150
"49",1,2,6,447,14,11,2379,14,"Favorite","Uniform",102.5
"1492",1,4,1,130,11,12,0,6,"Favorite","NONE",120.26
"1289",1,2,6,391,15,15,1644,13,"Favorite","Uniform",144.98
"2311",1,2,7,294,2,2,64,1,"Favorite","Uniform",137.49
"2137",1,1,7,226,14,12,1387,14,"Uniform","Uniform",112.51
"2244",1,3,5,204,9,10,968,4,"Favorite","Uniform",134.94
"967",1,2,6,195,14,14,277,14,"Favorite","Uniform",202.5
"2295",1,2,4,294,12,12,1523,12,"Favorite","Uniform",115
"398",1,3,4,359,10,10,2576,10,"Favorite","Uniform",100
"740",1,1,5,372,12,12,1020,12,"Uniform","Uniform",107.5
"1749",1,2,3,420,18,15,2096,16,"Uniform","Uniform",109.98
"2562",1,3,3,324,27,27,1342,23,"Favorite","Uniform",227.76
"3122",1,2,4,369,14,14,724,12,"Uniform","Uniform",130.65
"1380",1,4,6,193,22,19,1106,22,"Favorite","Uniform",150
"2921",1,1,5,454,14,14,1390,14,"Favorite","Uniform",152.25
"2536",1,1,4,328,11,11,17,11,"Favorite","Uniform",102.5
"315",2,2,5,461,10,10,1440,10,"Favorite","Uniform",139.68
"2802",1,1,7,119,8,8,185,6,"Favorite","Uniform",105.48
"2303",1,3,5,199,15,15,281,15,"Favorite","Uniform",195
"1329",1,3,4,310,14,15,1338,0,"Favorite","Uniform",533.75
"882",1,3,2,317,15,15,4385,15,"Favorite","Uniform",170.25
"2336",1,3,4,217,8,10,869,6,"Favorite","Uniform",101.32
"84",2,2,4,194,19,19,1248,19,"Favorite","Uniform",142.12
"619",1,2,4,298,16,14,3610,16,"Favorite","Uniform",185
"1791",1,2,3,331,7,7,28,7,"Favorite","Uniform",100
"589",1,3,4,436,7,7,547,4,"Favorite","Uniform",119.47
"830",1,1,5,413,17,15,548,17,"Favorite","Uniform",135
"2746",1,2,3,249,18,15,824,16,"Favorite","Uniform",120.65
"2087",1,2,4,104,21,16,540,21,"Favorite","Uniform",180
"381",1,3,7,393,17,15,474,17,"Favorite","Uniform",139.12
"2141",1,2,6,284,14,14,3315,14,"Favorite","Uniform",117.5
"861",2,2,7,438,15,14,2009,15,"Favorite","Uniform",142.15
"3103",1,4,3,424,20,20,1697,20,"Favorite","Uniform",134.76
"1637",1,5,3,310,27,14,1174,27,"Favorite","Uniform",172.5
"252",2,1,5,447,14,14,623,14,"Favorite","Uniform",124.15
"58",1,2,3,368,1,1,159,0,"Favorite","Uniform",129.99
"2578",1,5,5,428,17,17,547,17,"Favorite","Uniform",169
"1516",1,2,2,309,16,16,150,0,"Favorite","Uniform",166.77
"3035",1,2,4,370,15,11,316,15,"Uniform","Uniform",105
"2313",1,2,5,281,24,19,1295,21,"Uniform","Uniform",241.73
"1957",1,2,4,413,23,23,1429,20,"Favorite","Uniform",268.23
"2538",1,2,6,205,8,8,332,8,"Favorite","Uniform",103.25
"115",2,4,4,370,12,12,710,12,"Favorite","Uniform",160.48
"2339",1,2,6,259,10,10,155,10,"Favorite","Uniform",135
"2240",1,4,4,351,19,19,1977,19,"Favorite","Uniform",138.77
"2006",1,3,8,155,18,10,356,18,"Favorite","Uniform",122.5
"2881",1,2,4,334,6,6,515,1,"Favorite","Uniform",169.99
"109",2,1,4,456,14,14,6554,14,"Favorite","Uniform",147.37
"942",1,3,3,446,47,35,1779,47,"Uniform","Uniform",210
"708",1,2,5,373,13,13,1550,13,"Favorite","Uniform",190
"2196",1,1,6,229,10,10,293,10,"Favorite","Uniform",105.01
"936",1,2,5,367,27,15,2161,27,"Favorite","Uniform",240
"3193",1,1,5,388,13,13,896,13,"Favorite","Uniform",100
"2920",1,4,6,371,25,19,1528,21,"Favorite","Uniform",177.16
"2178",1,3,4,418,13,11,1367,13,"Favorite","Uniform",103
"1181",1,2,6,258,13,10,2668,13,"Favorite","Uniform",130.75
"1880",1,2,5,366,28,21,1481,28,"Uniform","Uniform",150
"269",2,4,5,440,9,9,1584,9,"Favorite","Uniform",104.19
"567",1,2,7,241,7,7,868,7,"Favorite","Uniform",124.98
"2455",1,1,6,366,22,22,1736,20,"Uniform","Uniform",178.74
"1935",1,5,2,358,17,17,1,17,"Favorite","Favorite",172.5
"2106",1,1,8,146,16,15,1301,11,"Uniform","Uniform",171.46
"1074",1,1,5,384,22,19,430,22,"Favorite","Uniform",218.5
"1526",1,1,4,234,19,19,321,19,"Favorite","Uniform",145.5
"2052",1,2,6,224,9,8,5129,9,"Uniform","Uniform",117.5
"2281",1,2,4,422,18,14,1380,18,"Favorite","Uniform",102.5
"2705",1,1,8,203,7,7,1731,2,"Favorite","Uniform",195.48
"2615",1,2,8,200,8,8,329,8,"Favorite","Uniform",117.5
"1605",1,3,5,281,10,10,698,5,"Favorite","Uniform",117.04
"1912",1,1,7,448,21,21,1440,21,"Favorite","Uniform",142.53
"2931",1,9,5,410,6,6,1029,6,"Favorite","Uniform",100
"770",1,2,6,376,7,7,769,2,"Favorite","Uniform",184.3
"1574",1,1,6,332,10,8,948,10,"Favorite","Uniform",100
"1927",1,2,3,412,10,10,1452,5,"Favorite","Uniform",127.65
"2346",1,3,3,342,13,13,1662,13,"Favorite","Uniform",207.5
"1217",1,3,5,429,13,11,1247,13,"Uniform","Uniform",117.5
"3198",1,1,6,135,8,8,7,1,"Favorite","Favorite",222.96
"1883",1,2,5,344,17,17,3114,15,"Favorite","Uniform",173
"2190",1,1,5,129,16,13,316,15,"Favorite","Uniform",132.31
"2322",1,2,3,467,9,9,5145,9,"Favorite","Uniform",142.5
"144",2,2,4,377,13,13,2943,13,"Favorite","Uniform",129.17
"1283",1,3,1,367,6,6,1092,3,"Favorite","Uniform",184.98
"894",1,2,5,383,10,10,2083,10,"Uniform","Uniform",102.5
"2156",1,4,4,383,28,23,5269,28,"Favorite","Uniform",194.99
"2055",1,5,2,427,21,21,7964,21,"Favorite","Uniform",217.5
"3148",1,3,3,438,16,16,2424,11,"Favorite","Uniform",253.7
"1815",1,2,6,466,20,20,2184,20,"Favorite","Uniform",136.26
"599",1,1,7,241,22,13,358,22,"Favorite","Uniform",110
"191",2,2,4,455,13,13,1217,13,"Favorite","Uniform",231.79
"2914",1,1,7,324,9,9,80,2,"Favorite","Uniform",224.99
"400",1,2,5,307,9,10,2860,8,"Favorite","Uniform",116.8
"1645",1,2,3,386,20,16,2674,20,"Uniform","Uniform",105
"3094",1,2,4,384,17,16,935,17,"Favorite","Uniform",148.75
"2842",1,2,4,238,18,16,905,18,"Favorite","Uniform",242.5
"1324",1,2,6,177,16,10,243,16,"Uniform","Uniform",107.5
"2621",1,4,5,316,11,11,209,8,"Favorite","Uniform",139.96
"718",1,2,4,459,14,14,3068,12,"Favorite","Uniform",110.48
"1066",1,2,7,156,7,7,68,7,"Favorite","Favorite",132.5
"1489",1,8,5,403,40,45,2916,29,"Favorite","Uniform",770.95
"2044",1,2,5,447,11,11,258,11,"Favorite","Uniform",125
"512",1,2,5,335,10,10,920,8,"Favorite","Uniform",132.98
"1163",1,1,5,387,14,14,295,14,"Favorite","Uniform",157.5
"1134",1,2,4,415,18,17,1540,15,"Favorite","Uniform",150
"1856",1,1,6,471,19,16,297,19,"Favorite","Uniform",156.25
"1807",1,2,3,367,10,10,81,4,"Favorite","Favorite",187.19
"2763",1,1,7,137,7,7,534,4,"Uniform","Uniform",124.47
"2588",1,3,4,365,16,16,3617,14,"Favorite","Uniform",147.76
"2406",1,1,5,446,12,12,1019,12,"Favorite","Uniform",100
"1390",1,3,1,370,22,22,1630,21,"Favorite","Uniform",197.99
"1318",1,1,7,433,8,7,607,8,"Favorite","Uniform",125
"431",1,5,4,362,8,8,923,4,"Uniform","Uniform",109.96
"3147",1,2,4,363,10,10,974,10,"Favorite","Uniform",100
"640",1,3,6,272,14,10,690,14,"Favorite","Uniform",127
"2686",1,1,6,439,17,17,5760,13,"Favorite","Uniform",232.49
"1599",1,2,5,462,27,27,3151,27,"Favorite","Uniform",242.5
"3124",1,1,5,127,17,17,662,17,"Favorite","Favorite",177.5
"353",2,2,6,406,8,8,2164,8,"Favorite","Uniform",112.48
"714",1,2,6,270,13,11,854,13,"Favorite","Uniform",110.01
"1466",1,2,4,409,14,13,1731,14,"Favorite","Uniform",157.5
"415",1,4,5,253,17,15,2166,17,"Favorite","Uniform",200
"242",2,1,4,468,21,15,1269,21,"Favorite","Uniform",174.1
"1077",1,2,3,467,19,19,920,15,"Favorite","Uniform",196.21
"893",2,2,6,463,11,11,891,11,"Favorite","Uniform",131.26
"2906",1,1,8,417,37,34,275,27,"Favorite","Uniform",418.6
"653",1,5,6,220,6,7,237,0,"Favorite","Favorite",139.93
"2941",1,2,5,410,21,18,5004,21,"Uniform","Uniform",137.51
"2162",1,2,4,347,22,19,444,22,"Favorite","Uniform",215
"2687",1,2,4,398,8,8,815,8,"Favorite","Uniform",117.5
"1582",1,1,4,460,14,14,100,10,"Uniform","Favorite",225
"2932",1,1,6,339,34,33,1048,32,"Favorite","Uniform",323.15
"2584",1,2,3,463,20,20,3488,13,"Uniform","Uniform",275.25
"465",1,2,2,440,34,34,1851,34,"Favorite","Uniform",212.53
"1073",1,2,2,398,21,18,335,16,"Uniform","Uniform",177.46
"1577",1,2,7,431,17,17,347,8,"Favorite","Uniform",328.43
"1302",1,4,3,392,24,21,355,24,"Favorite","Uniform",217.5
"1648",1,1,6,287,10,10,1199,5,"Favorite","Uniform",134.99
"1821",2,1,5,426,12,11,5917,12,"Uniform","Uniform",102.29
"1215",1,3,4,366,16,16,552,16,"Favorite","Uniform",170
"959",1,1,4,435,14,14,2938,14,"Favorite","Uniform",120
"18",1,1,7,346,18,16,1029,14,"Uniform","Uniform",181.71
"10",2,3,5,333,15,15,1967,15,"Favorite","Uniform",112.62
"2479",1,3,4,351,9,9,115,4,"Favorite","Uniform",126.2
"2575",1,2,5,335,10,8,766,9,"Favorite","Uniform",110.49
"1043",1,1,6,455,17,17,1184,17,"Favorite","Uniform",224.25
"1787",1,3,4,400,21,16,1802,19,"Favorite","Uniform",139.79
"2722",2,2,4,321,8,8,642,8,"Favorite","Uniform",144.93
"2168",1,1,6,195,6,6,1,0,"Favorite","Uniform",180
"1511",1,2,4,398,18,14,2877,16,"Uniform","Uniform",143.47
"1879",1,2,7,452,8,7,706,8,"Favorite","Uniform",125
"2104",1,2,6,329,15,15,265,15,"Favorite","Uniform",155
"2945",1,2,3,349,27,25,3232,27,"Favorite","Uniform",247.25
"1968",1,2,4,436,2,2,1079,1,"Favorite","Uniform",149.99
"57",1,2,4,364,19,14,1179,16,"Uniform","Uniform",139.48
"2845",1,2,5,439,42,28,5147,36,"Favorite","Uniform",385.38
"2486",1,1,6,318,6,6,196,0,"Favorite","Uniform",108.5
"1604",1,1,6,441,31,25,1066,30,"Favorite","Uniform",247.99
"2290",1,2,7,402,11,11,410,11,"Favorite","Uniform",117.5
"2751",1,3,5,345,20,15,1560,20,"Uniform","Uniform",163
"782",1,2,4,453,25,18,1509,25,"Favorite","Uniform",157.5
"1989",1,1,8,373,21,20,2664,21,"Favorite","Uniform",220.5
"2445",1,2,5,215,5,5,209,5,"Favorite","Uniform",102.5
"2822",1,2,4,317,26,25,1512,26,"Favorite","Uniform",250
"3",1,4,3,424,18,18,1059,18,"Favorite","Uniform",135.01
"2450",1,3,1,467,23,23,3912,17,"Uniform","Uniform",310.92
"367",2,1,5,362,11,11,692,11,"Favorite","Uniform",157.64
"122",2,1,6,257,26,26,888,26,"Favorite","Uniform",196.52
"3162",1,1,7,457,12,12,5466,12,"Favorite","Uniform",222.49
"793",1,4,5,393,23,20,2459,23,"Favorite","Uniform",185.53
"1301",1,1,5,395,31,29,6977,31,"Favorite","Uniform",240
"1960",1,2,5,364,5,6,50,0,"Favorite","Favorite",116.91
"2925",1,3,7,335,17,17,2333,8,"Uniform","Uniform",290.85
"1711",1,4,2,463,19,19,2211,19,"Favorite","Uniform",143.5
"2334",1,2,5,390,17,13,2284,17,"Favorite","Uniform",120.75
"684",1,2,5,465,14,12,893,14,"Uniform","Uniform",125.5
"614",1,2,4,395,13,13,2956,13,"Favorite","Uniform",142.5
"392",1,3,3,348,14,13,901,11,"Favorite","Uniform",165.48
"176",2,2,7,196,13,13,1138,13,"Favorite","Uniform",176.27
"1369",1,2,5,443,20,19,2505,13,"Favorite","Uniform",216.93
"1203",1,2,7,122,13,13,1867,13,"Favorite","Uniform",112.5
"1213",1,2,3,383,18,18,2399,17,"Favorite","Uniform",257.49
"2179",1,5,3,301,15,14,991,12,"Favorite","Uniform",145.39
"90",2,2,5,299,10,9,1080,10,"Uniform","Uniform",108.08
"500",1,2,3,460,27,27,1558,23,"Favorite","Uniform",361.21
"1259",1,3,5,389,17,18,369,15,"Favorite","Uniform",210.97
"579",1,2,5,337,14,14,987,14,"Favorite","Uniform",107.5
"1409",1,3,5,350,8,8,281,6,"Favorite","Uniform",100.63
"2984",1,3,4,346,18,18,3274,17,"Favorite","Uniform",209.99
"2685",1,1,6,345,25,20,1330,25,"Favorite","Uniform",185.01
"2679",1,2,4,377,17,17,332,8,"Favorite","Uniform",377.84
"356",2,2,4,427,13,13,826,13,"Favorite","Uniform",116.26
"1007",1,3,8,253,18,17,2072,18,"Favorite","Uniform",254
"1668",1,2,6,471,10,12,2837,2,"Uniform","Uniform",192.5
"1595",1,2,4,427,29,29,1109,29,"Favorite","Uniform",247.5
"2753",1,2,4,347,12,12,0,8,"Favorite","NONE",267.46
"1983",1,1,6,465,41,33,622,40,"Favorite","Uniform",284.26
"2497",1,3,5,373,34,22,173,32,"Favorite","Uniform",187.98
"2481",1,1,4,358,11,10,650,8,"Uniform","Uniform",116.89
"312",2,1,6,273,29,29,2112,29,"Favorite","Uniform",242.12
"611",1,3,7,365,11,11,0,4,"Uniform","NONE",120.79
"807",1,1,5,304,16,16,545,15,"Favorite","Uniform",170.5
"991",1,3,7,461,11,11,1422,11,"Favorite","Uniform",152.5
"1545",1,2,4,421,19,11,571,19,"Favorite","Uniform",130
"1965",1,3,7,269,14,14,1812,14,"Uniform","Uniform",112.55
"629",1,2,4,367,9,8,2227,7,"Favorite","Uniform",149.99
"1990",1,2,2,201,16,16,338,16,"Favorite","Uniform",120
"38",1,1,6,314,10,10,154,10,"Favorite","Uniform",127.5
"1588",1,3,5,311,17,15,1723,17,"Favorite","Uniform",122.5
"1969",1,3,5,376,10,10,1358,5,"Favorite","Uniform",109.57
"1119",1,2,4,465,29,29,2677,29,"Favorite","Uniform",420
"493",1,1,9,367,9,9,727,6,"Favorite","Favorite",137.5
"46",1,1,7,437,28,18,357,28,"Favorite","Uniform",182.5
"686",1,2,6,444,7,7,143,0,"Favorite","Uniform",124.95
"2215",1,1,6,234,13,11,1061,12,"Uniform","Uniform",105.49
"2259",1,2,5,116,12,12,980,12,"Favorite","Uniform",120
"3207",1,2,5,341,16,13,1250,16,"Uniform","Uniform",120
"531",1,2,6,192,16,15,2497,11,"Favorite","Uniform",183.44
"2963",1,3,6,427,14,12,438,10,"Favorite","Uniform",163.46
"2572",1,2,5,427,16,16,6610,6,"Favorite","Uniform",422.5
"985",1,2,5,461,21,21,1574,21,"Favorite","Uniform",199.87
"251",2,1,6,465,7,7,803,7,"Favorite","Uniform",103.26
